Number,ID_Study,ID_Sample,Sample Name,ID_Analyses,Latitude,Longitude,geographic location,environment (biome),depth (m),elevation (masl),pH
77,MGYS00003673,ERS1301036,rhizosphere 93-11 MS00407,MGYA00262048,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
78,MGYS00003673,ERS1301037,rhizosphere 93-11 MS00408,MGYA00262049,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
79,MGYS00003673,ERS1301038,rhizosphere 93-11 MS00409,MGYA00262050,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
80,MGYS00003673,ERS1301039,rhizosphere 93-11 MS00410,MGYA00262051,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
81,MGYS00003673,ERS1301040,rhizosphere kasalath MS00411,MGYA00262052,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
82,MGYS00003673,ERS1301041,rhizosphere kasalath MS00412,MGYA00262053,35.117,138.937,Japan;GAZ:Japan,cropland biome,,60,
83,MGYS00003673,ERS1301042,rhizosphere kasalath MS00413,MGYA00262054,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
84,MGYS00003673,ERS1301043,rhizosphere kasalath MS00414,MGYA00262055,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
85,MGYS00003673,ERS1301044,rhizosphere kasalath MS00415,MGYA00262056,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
86,MGYS00003673,ERS1301045,rhizosphere kasalath MS00416,MGYA00262057,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
87,MGYS00003673,ERS1301046,rhizosphere kasalath MS00417,MGYA00262058,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
88,MGYS00003673,ERS1301047,rhizosphere kasalath MS00418,MGYA00262059,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
89,MGYS00003673,ERS1301048,rhizosphere kasalath MS00419,MGYA00262060,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
90,MGYS00003673,ERS1301049,rhizosphere kasalath MS00420,MGYA00262061,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
91,MGYS00003673,ERS1301050,rhizosphere W106 MS00421,MGYA00262062,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
92,MGYS00003673,ERS1301051,rhizosphere W106 MS00422,MGYA00262063,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
93,MGYS00003673,ERS1301052,rhizosphere W106 MS00423,MGYA00262064,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
94,MGYS00003673,ERS1301053,rhizosphere W106 MS00424,MGYA00262065,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
95,MGYS00003673,ERS1301054,rhizosphere W106 MS00425,MGYA00262066,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
96,MGYS00003673,ERS1301055,rhizosphere W106 MS00426,MGYA00262067,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
97,MGYS00003673,ERS1301056,rhizosphere W106 MS00427,MGYA00262068,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
98,MGYS00003673,ERS1301057,rhizosphere W106 MS00428,MGYA00262069,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
99,MGYS00003673,ERS1301058,rhizosphere W106 MS00429,MGYA00262070,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
100,MGYS00003673,ERS1301059,rhizosphere W106 MS00430,MGYA00262071,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
101,MGYS00003673,ERS1301060,rhizosphere W1514 MS00431,MGYA00262072,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
102,MGYS00003673,ERS1301061,rhizosphere W1514 MS00432,MGYA00262073,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
103,MGYS00003673,ERS1301062,rhizosphere W1514 MS00433,MGYA00262074,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
104,MGYS00003673,ERS1301063,rhizosphere W1514 MS00434,MGYA00262075,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
105,MGYS00003673,ERS1301064,rhizosphere W1514 MS00435,MGYA00262076,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
106,MGYS00003673,ERS1301065,rhizosphere W1514 MS00436,MGYA00262077,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
107,MGYS00003673,ERS1301066,rhizosphere W1514 MS00437,MGYA00262078,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
108,MGYS00003673,ERS1301067,rhizosphere W1514 MS00438,MGYA00262079,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
109,MGYS00003673,ERS1301068,rhizosphere W1514 MS00439,MGYA00262080,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
110,MGYS00003673,ERS1301069,rhizosphere W1514 MS00440,MGYA00262081,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
111,MGYS00003673,ERS1301070,rhizosphere Nipponbare MS00441,MGYA00262082,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
112,MGYS00003673,ERS1301071,rhizosphere Nipponbare MS00442,MGYA00262083,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
113,MGYS00003673,ERS1301072,rhizosphere Nipponbare MS00443,MGYA00262084,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
114,MGYS00003673,ERS1301073,rhizosphere Nipponbare MS00444,MGYA00262085,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
115,MGYS00003673,ERS1301074,rhizosphere Nipponbare MS00445,MGYA00262086,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
116,MGYS00003673,ERS1301075,rhizosphere Nipponbare MS00446,MGYA00262087,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
117,MGYS00003673,ERS1301076,rhizosphere Nipponbare MS00447,MGYA00262088,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
118,MGYS00003673,ERS1301077,rhizosphere Nipponbare MS00448,MGYA00262089,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
119,MGYS00003673,ERS1301078,rhizosphere Nipponbare MS00449,MGYA00262090,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
120,MGYS00003673,ERS1301079,rhizosphere Nipponbare MS00450,MGYA00262091,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
121,MGYS00003673,ERS1301080,rhizosphere Nipponbare MS00451,MGYA00262092,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
122,MGYS00003673,ERS1301081,rhizosphere Nipponbare MS00452,MGYA00262093,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
123,MGYS00003673,ERS1301082,rhizosphere Nipponbare MS00453,MGYA00262094,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
124,MGYS00003673,ERS1301083,rhizosphere Nipponbare MS00454,MGYA00262095,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
125,MGYS00003673,ERS1301084,rhizosphere Nipponbare MS00455,MGYA00262096,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
126,MGYS00003673,ERS1301085,rhizosphere Nipponbare MS00456,MGYA00262097,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
127,MGYS00003673,ERS1301086,rhizosphere Nipponbare MS00457,MGYA00262098,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
128,MGYS00003673,ERS1301087,rhizosphere Nipponbare MS00458,MGYA00262099,35.117,138.937,Japan;GAZ:Japan,cropland biome,,60,
129,MGYS00003673,ERS1301088,rhizosphere Nipponbare MS00459,MGYA00262100,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
130,MGYS00003673,ERS1301089,rhizosphere Nipponbare MS00460,MGYA00262101,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
131,MGYS00003673,ERS1301090,rhizosphere 93-11 MS00461,MGYA00262102,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
132,MGYS00003673,ERS1301091,rhizosphere 93-11 MS00462,MGYA00262103,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
133,MGYS00003673,ERS1301092,rhizosphere 93-11 MS00463,MGYA00262104,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
134,MGYS00003673,ERS1301093,rhizosphere 93-11 MS00464,MGYA00262105,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
135,MGYS00003673,ERS1301094,rhizosphere 93-11 MS00465,MGYA00262106,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
136,MGYS00003673,ERS1301095,rhizosphere 93-11 MS00466,MGYA00262107,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
137,MGYS00003673,ERS1301096,rhizosphere 93-11 MS00467,MGYA00262108,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
138,MGYS00003673,ERS1301097,rhizosphere 93-11 MS00468,MGYA00262109,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
139,MGYS00003673,ERS1301098,rhizosphere 93-11 MS00469,MGYA00262110,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
140,MGYS00003673,ERS1301099,rhizosphere 93-11 MS00470,MGYA00262111,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
141,MGYS00003673,ERS1301100,rhizosphere kasalath MS00471,MGYA00262112,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
142,MGYS00003673,ERS1301101,rhizosphere kasalath MS00472,MGYA00262113,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
143,MGYS00003673,ERS1301102,rhizosphere kasalath MS00473,MGYA00262114,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
144,MGYS00003673,ERS1301103,rhizosphere kasalath MS00474,MGYA00262115,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
145,MGYS00003673,ERS1301104,rhizosphere kasalath MS00475,MGYA00262116,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
146,MGYS00003673,ERS1301105,rhizosphere kasalath MS00476,MGYA00262117,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
147,MGYS00003673,ERS1301106,rhizosphere kasalath MS00477,MGYA00262118,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
148,MGYS00003673,ERS1301107,rhizosphere kasalath MS00478,MGYA00262119,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
149,MGYS00003673,ERS1301108,rhizosphere kasalath MS00479,MGYA00262120,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
150,MGYS00003673,ERS1301109,rhizosphere kasalath MS00480,MGYA00262121,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
151,MGYS00003673,ERS1301110,rhizosphere W106 MS00481,MGYA00262122,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
152,MGYS00003673,ERS1301111,rhizosphere W106 MS00482,MGYA00262123,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
153,MGYS00003673,ERS1301112,rhizosphere W106 MS00483,MGYA00262124,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
154,MGYS00003673,ERS1301113,rhizosphere W106 MS00484,MGYA00262125,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
155,MGYS00003673,ERS1301114,rhizosphere W106 MS00485,MGYA00262126,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
156,MGYS00003673,ERS1301115,rhizosphere W106 MS00486,MGYA00262127,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
157,MGYS00003673,ERS1301116,rhizosphere W106 MS00487,MGYA00262128,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
158,MGYS00003673,ERS1301117,rhizosphere W106 MS00488,MGYA00262129,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
159,MGYS00003673,ERS1301118,rhizosphere W106 MS00489,MGYA00262130,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
160,MGYS00003673,ERS1301119,rhizosphere W106 MS00490,MGYA00262131,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
161,MGYS00003673,ERS1301120,rhizosphere W1514 MS00491,MGYA00262132,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
162,MGYS00003673,ERS1301121,rhizosphere W1514 MS00492,MGYA00262133,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
163,MGYS00003673,ERS1301122,rhizosphere W1514 MS00493,MGYA00262134,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
164,MGYS00003673,ERS1301123,rhizosphere W1514 MS00494,MGYA00262135,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
165,MGYS00003673,ERS1301124,rhizosphere W1514 MS00495,MGYA00262136,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
166,MGYS00003673,ERS1301125,rhizosphere W1514 MS00496,MGYA00262137,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
167,MGYS00003673,ERS1301126,rhizosphere W1514 MS00497,MGYA00262138,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
168,MGYS00003673,ERS1301127,rhizosphere W1514 MS00498,MGYA00262139,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
169,MGYS00003673,ERS1301128,rhizosphere W1514 MS00499,MGYA00262140,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
170,MGYS00003673,ERS1301129,rhizosphere W1514 MS00500,MGYA00262141,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
171,MGYS00003673,ERS1301130,rhizosphere Nipponbare MS00501,MGYA00262142,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
172,MGYS00003673,ERS1301131,rhizosphere Nipponbare MS00502,MGYA00262143,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
173,MGYS00003673,ERS1301132,rhizosphere Nipponbare MS00503,MGYA00262144,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
174,MGYS00003673,ERS1301133,rhizosphere Nipponbare MS00504,MGYA00262145,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
175,MGYS00003673,ERS1301134,rhizosphere Nipponbare MS00505,MGYA00262146,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
176,MGYS00003673,ERS1301135,rhizosphere Nipponbare MS00506,MGYA00262147,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
177,MGYS00003673,ERS1301136,rhizosphere Nipponbare MS00507,MGYA00262148,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
178,MGYS00003673,ERS1301137,rhizosphere Nipponbare MS00508,MGYA00262149,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
179,MGYS00003673,ERS1301138,rhizosphere Nipponbare MS00509,MGYA00262150,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
180,MGYS00003673,ERS1301139,rhizosphere Nipponbare MS00510,MGYA00262151,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
181,MGYS00003673,ERS1301140,rhizosphere Nipponbare MS00511,MGYA00262152,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
182,MGYS00003673,ERS1301141,rhizosphere Nipponbare MS00512,MGYA00262153,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
183,MGYS00003673,ERS1301142,rhizosphere Nipponbare MS00513,MGYA00262154,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
184,MGYS00003673,ERS1301143,rhizosphere Nipponbare MS00514,MGYA00262155,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
185,MGYS00003673,ERS1301144,rhizosphere Nipponbare MS00515,MGYA00262156,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
186,MGYS00003673,ERS1301145,rhizosphere Nipponbare MS00516,MGYA00262157,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
187,MGYS00003673,ERS1301146,rhizosphere Nipponbare MS00517,MGYA00262158,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
188,MGYS00003673,ERS1301147,rhizosphere Nipponbare MS00518,MGYA00262159,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
189,MGYS00003673,ERS1301148,rhizosphere Nipponbare MS00519,MGYA00262160,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
190,MGYS00003673,ERS1301149,rhizosphere Nipponbare MS00520,MGYA00262161,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
191,MGYS00003673,ERS1301150,rhizosphere 93-11 MS00521,MGYA00262162,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
192,MGYS00003673,ERS1301151,rhizosphere 93-11 MS00522,MGYA00262163,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
193,MGYS00003673,ERS1301152,rhizosphere 93-11 MS00523,MGYA00262164,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
