,ID_Sample,Sample Name,ID_Analyses,geographic location (longitude),"geographic location (country and/or sea,region)",collection date,environment (biome),environment (feature),NCBI sample classification,instrument model,host
31,SRS691566,RhizosphereSoil10,MGYA00051766,23.13 N 113.50 E,China,2012-10-18,Paddy soil,Agricultural terrace,1118232,454 GS FLX Titanium,paddy rice
32,SRS691567,RhizosphereSoil11,MGYA00051748,23.13 N 113.51 E,China,2012-10-18,Paddy soil,Agricultural terrace,1118232,454 GS FLX Titanium,paddy rice
33,SRS691568,RhizosphereSoil12,MGYA00051747,23.13 N 113.52 E,China,2012-10-18,Paddy soil,Agricultural terrace,1118232,454 GS FLX Titanium,paddy rice
34,SRS691569,RhizosphereSoil13,MGYA00051750,23.13 N 113.53 E,China,2012-10-18,Paddy soil,Agricultural terrace,1118232,454 GS FLX Titanium,paddy rice
35,SRS691570,RhizosphereSoil14,MGYA00051749,23.13 N 113.54 E,China,2012-10-18,Paddy soil,Agricultural terrace,1118232,454 GS FLX Titanium,paddy rice
36,SRS691572,RhizosphereSoil15,MGYA00051744,23.13 N 113.55 E,China,2012-10-18,Paddy soil,Agricultural terrace,1118232,454 GS FLX Titanium,paddy rice
37,SRS691573,FePlaque1,MGYA00051743,23.13 N 113.56 E,China,2012-10-18,Paddy soil,Agricultural terrace,1118232,454 GS FLX Titanium,paddy rice
38,SRS691574,FePlaque2,MGYA00051746,23.13 N 113.57 E,China,2012-10-18,Paddy soil,Agricultural terrace,1118232,454 GS FLX Titanium,paddy rice
39,SRS691575,FePlaque3,MGYA00051745,23.13 N 113.58 E,China,2012-10-18,Paddy soil,Agricultural terrace,1118232,454 GS FLX Titanium,paddy rice
40,SRS691576,FePlaque4,MGYA00051753,23.13 N 113.59 E,China,2012-10-18,Paddy soil,Agricultural terrace,1118232,454 GS FLX Titanium,paddy rice
41,SRS691577,FePlaque5,MGYA00051752,23.13 N 113.60 E,China,2012-10-18,Paddy soil,Agricultural terrace,1118232,454 GS FLX Titanium,paddy rice
42,SRS691578,FePlaque6,MGYA00051772,23.13 N 113.61 E,China,2012-10-18,Paddy soil,Agricultural terrace,1118232,454 GS FLX Titanium,paddy rice
43,SRS691579,FePlaque7,MGYA00051773,23.13 N 113.62 E,China,2012-10-18,Paddy soil,Agricultural terrace,1118232,454 GS FLX Titanium,paddy rice
44,SRS691580,FePlaque8,MGYA00051771,23.13 N 113.63 E,China,2012-10-18,Paddy soil,Agricultural terrace,1118232,454 GS FLX Titanium,paddy rice
