,ID_Sample,Sample Name,ID_Analyses,geographic location (longitude),"geographic location (country and/or sea,region)",environment (biome),environment (feature),environment (material),environmental package,elevation,geographic location (latitude),instrument model,ENA checklist,last update date,host,host scientific name
12,ERS1300636,Bulk soil unknown MS00007,MGYA00261648,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,bulk soil,soil metagenome
13,ERS1300637,Bulk soil unknown MS00008,MGYA00261649,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,bulk soil,soil metagenome
14,ERS1300638,Bulk soil unknown MS00009,MGYA00261650,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,bulk soil,soil metagenome
15,ERS1300639,Bulk soil unknown MS00010,MGYA00261651,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,bulk soil,soil metagenome
16,ERS1300640,Bulk soil unknown MS00011,MGYA00261652,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
17,ERS1300641,Bulk soil Nipponbare MS00012,MGYA00261653,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
18,ERS1300642,Bulk soil Nipponbare MS00013,MGYA00261654,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
19,ERS1300643,Bulk soil Nipponbare MS00014,MGYA00261655,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
20,ERS1300644,Bulk soil Nipponbare MS00015,MGYA00261656,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
21,ERS1300645,Bulk soil Nipponbare MS00016,MGYA00261657,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
22,ERS1300646,Bulk soil Nipponbare MS00017,MGYA00261658,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
23,ERS1300647,Bulk soil Nipponbare MS00018,MGYA00261659,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
24,ERS1300648,Bulk soil Nipponbare MS00019,MGYA00261660,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
25,ERS1300649,Bulk soil Nipponbare MS00020,MGYA00261661,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
26,ERS1300650,Bulk soil Nipponbare MS00021,MGYA00261662,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
27,ERS1300651,Bulk soil 93-11 MS00022,MGYA00261663,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
28,ERS1300652,Bulk soil 93-11 MS00023,MGYA00261664,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
29,ERS1300653,Bulk soil 93-11 MS00024,MGYA00261665,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
30,ERS1300654,Bulk soil 93-11 MS00025,MGYA00261666,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
31,ERS1300655,Bulk soil 93-11 MS00026,MGYA00261667,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
32,ERS1300656,Bulk soil 93-11 MS00027,MGYA00261668,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
33,ERS1300657,Bulk soil 93-11 MS00028,MGYA00261669,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
34,ERS1300658,Bulk soil 93-11 MS00029,MGYA00261670,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
35,ERS1300659,Bulk soil 93-11 MS00030,MGYA00261671,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
36,ERS1300660,Bulk soil kasalath MS00031,MGYA00261672,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
37,ERS1300661,Bulk soil kasalath MS00032,MGYA00261673,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
38,ERS1300662,Bulk soil kasalath MS00033,MGYA00261674,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
39,ERS1300663,Bulk soil kasalath MS00034,MGYA00261675,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
40,ERS1300664,Bulk soil kasalath MS00035,MGYA00261676,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
41,ERS1300665,Bulk soil kasalath MS00036,MGYA00261677,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
42,ERS1300666,Bulk soil kasalath MS00037,MGYA00261678,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
43,ERS1300667,Bulk soil kasalath MS00038,MGYA00261679,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
44,ERS1300668,Bulk soil kasalath MS00039,MGYA00261680,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
45,ERS1300669,Bulk soil kasalath MS00040,MGYA00261681,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
46,ERS1300670,Bulk soil kasalath MS00041,MGYA00261682,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
47,ERS1300671,Bulk soil W106 MS00042,MGYA00261683,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
48,ERS1300672,Bulk soil W106 MS00043,MGYA00261684,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
49,ERS1300673,Bulk soil W106 MS00044,MGYA00261685,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
50,ERS1300674,Bulk soil W106 MS00045,MGYA00261686,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
51,ERS1300675,Bulk soil W106 MS00046,MGYA00261687,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
52,ERS1300676,Bulk soil W106 MS00047,MGYA00261688,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
53,ERS1300677,Bulk soil W106 MS00048,MGYA00261689,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
54,ERS1300678,Bulk soil W106 MS00049,MGYA00261690,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
55,ERS1300679,Bulk soil W106 MS00050,MGYA00261691,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
56,ERS1300680,Bulk soil W106 MS00051,MGYA00261692,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
57,ERS1300681,Bulk soil W1514 MS00052,MGYA00261693,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
58,ERS1300682,Bulk soil W1514 MS00053,MGYA00261694,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
59,ERS1300683,Bulk soil W1514 MS00054,MGYA00261695,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
60,ERS1300684,Bulk soil W1514 MS00055,MGYA00261696,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
61,ERS1300685,Bulk soil W1514 MS00056,MGYA00261697,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
62,ERS1300686,Bulk soil W1514 MS00057,MGYA00261698,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
63,ERS1300687,Bulk soil W1514 MS00058,MGYA00261699,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
64,ERS1300688,Bulk soil W1514 MS00059,MGYA00261700,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
65,ERS1300689,Bulk soil W1514 MS00060,MGYA00261701,138.937,Japan;GAZ:Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
66,ERS1300690,Bulk soil W1514 MS00061,MGYA00261702,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
67,ERS1300691,Bulk soil Nipponbare MS00062,MGYA00261703,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
68,ERS1300692,Bulk soil Nipponbare MS00063,MGYA00261704,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
69,ERS1300693,Bulk soil Nipponbare MS00064,MGYA00261705,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
70,ERS1300694,Bulk soil Nipponbare MS00065,MGYA00261706,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
71,ERS1300695,Bulk soil Nipponbare MS00066,MGYA00261707,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
72,ERS1300696,Bulk soil Nipponbare MS00067,MGYA00261708,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
73,ERS1300697,Bulk soil Nipponbare MS00068,MGYA00261709,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
74,ERS1300698,Bulk soil Nipponbare MS00069,MGYA00261710,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
75,ERS1300699,Bulk soil Nipponbare MS00070,MGYA00261711,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
76,ERS1300700,Bulk soil Nipponbare MS00071,MGYA00261712,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
77,ERS1300701,Bulk soil Nipponbare MS00072,MGYA00261713,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
78,ERS1300702,Bulk soil Nipponbare MS00073,MGYA00261714,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
79,ERS1300703,Bulk soil Nipponbare MS00074,MGYA00261715,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
80,ERS1300704,Bulk soil Nipponbare MS00075,MGYA00261716,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
81,ERS1300705,Bulk soil Nipponbare MS00076,MGYA00261717,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
82,ERS1300706,Bulk soil Nipponbare MS00077,MGYA00261718,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
83,ERS1300707,Bulk soil Nipponbare MS00078,MGYA00261719,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
84,ERS1300708,Bulk soil Nipponbare MS00079,MGYA00261720,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
85,ERS1300709,Bulk soil Nipponbare MS00080,MGYA00261721,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
86,ERS1300710,Bulk soil Nipponbare MS00081,MGYA00261722,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
87,ERS1300711,Bulk soil 93-11 MS00082,MGYA00261723,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
88,ERS1300712,Bulk soil 93-11 MS00083,MGYA00261724,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
89,ERS1300713,Bulk soil 93-11 MS00084,MGYA00261725,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
90,ERS1300714,Bulk soil 93-11 MS00085,MGYA00261726,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
91,ERS1300715,Bulk soil 93-11 MS00086,MGYA00261727,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
92,ERS1300716,Bulk soil 93-11 MS00087,MGYA00261728,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
93,ERS1300717,Bulk soil 93-11 MS00088,MGYA00261729,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
94,ERS1300718,Bulk soil 93-11 MS00089,MGYA00261730,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
95,ERS1300719,Bulk soil 93-11 MS00090,MGYA00261731,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
96,ERS1300720,Bulk soil 93-11 MS00091,MGYA00261732,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
97,ERS1300721,Bulk soil kasalath MS00092,MGYA00261733,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
98,ERS1300722,Bulk soil kasalath MS00093,MGYA00261734,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
99,ERS1300723,Bulk soil kasalath MS00094,MGYA00261735,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
100,ERS1300724,Bulk soil kasalath MS00095,MGYA00261736,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
101,ERS1300725,Bulk soil kasalath MS00096,MGYA00261737,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
102,ERS1300726,Bulk soil kasalath MS00097,MGYA00261738,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
103,ERS1300727,Bulk soil kasalath MS00098,MGYA00261739,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
104,ERS1300728,Bulk soil kasalath MS00099,MGYA00261740,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
105,ERS1300729,Bulk soil kasalath MS00100,MGYA00261741,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
106,ERS1300730,Bulk soil kasalath MS00101,MGYA00261742,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
107,ERS1300731,Bulk soil W106 MS00102,MGYA00261743,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
108,ERS1300732,Bulk soil W106 MS00103,MGYA00261744,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
109,ERS1300733,Bulk soil W106 MS00104,MGYA00261745,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
110,ERS1300734,Bulk soil W106 MS00105,MGYA00261746,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
111,ERS1300735,Bulk soil W106 MS00106,MGYA00261747,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
112,ERS1300736,Bulk soil W106 MS00107,MGYA00261748,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
113,ERS1300737,Bulk soil W106 MS00108,MGYA00261749,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
114,ERS1300738,Bulk soil W106 MS00109,MGYA00261750,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
115,ERS1300739,Bulk soil W106 MS00110,MGYA00261751,138.937,Japan;GAZ:Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
116,ERS1300740,Bulk soil W106 MS00111,MGYA00261752,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
117,ERS1300741,Bulk soil W1514 MS00112,MGYA00261753,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
118,ERS1300742,Bulk soil W1514 MS00113,MGYA00261754,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
119,ERS1300743,Bulk soil W1514 MS00114,MGYA00261755,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
120,ERS1300744,Bulk soil W1514 MS00115,MGYA00261756,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,rice,rice
